STREET,X_STREET,DIRECTION,ST_FACING,DIST,CNN,CONCATENAT,MTAB_DATE,MTAB_RESO_TEXT,MTAB_MOTION,STATUS,WORKORDER,INSTALL_DATE,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
YORK,24TH,NW,SB,,13772000,YORK ST & 24TH ST,,,,I,,,POINT (-122.40819 37.752853),53,53,3,2,20
29TH AVE,VICENTE,NW,SB,,23257000,29TH AVE & VICENTE,,,,,,,POINT (-122.48614 37.738853),40,40,10,7,35
27TH AVE,KIRKHAM,NW,SB,0,27426000,27TH AVE & KIRKHAM,,,,,,,POINT (-122.485435 37.759453),39,39,10,7,35
RIVERA,28TH AVE,SW,EB,0,23281000,RIVERA & 28TH AVE,,,,,,,POINT (-122.485596 37.746353),40,40,10,7,35
BUCKINGHAM,WINSTON,NW,SB,0,33513000,BUCKINGHAM & WINSTON,,,,,,,POINT (-122.4787 37.72821),41,41,10,8,16
RANDOLPH,ARCH,NE,WB,0,22525000,RANDOLPH & ARCH,,,,,,,POINT (-122.467094 37.71427),65,65,10,1,24
GREEN,FRONT,NE,WB,,24811000,GREEN & FRONT,,,,,,,POINT (-122.40025 37.800606),77,77,6,3,8
TREAT,20TH ST,NW,SB,0,24036000,TREAT & 20TH ST,,,,,,,POINT (-122.4136 37.75896),53,53,3,2,20
WINFIELD,CORTLAND,NW,SB,0,21253000,WINFIELD & CORTLAND,,,,,,,POINT (-122.42027 37.739986),83,83,9,2,2
MOFFITT,DIAMOND,SW,EB,0,21959000,MOFFITT & DIAMOND,,,,,,,POINT (-122.43457 37.738758),96,96,9,5,10
37TH AVE,SANTIAGO,NW,SB,0,23408000,37TH AVE & SANTIAGO,,,,,,,POINT (-122.49511 37.74407),39,39,10,7,35
BROADWAY,HYDE,NE,SB,0,25292000,BROADWAY & HYDE,,,,,,,POINT (-122.41846 37.796276),16,16,6,3,32
ATHENS,FRANCE,NW,SB,0,21407000,ATHENS ST & FRANCE AVE,,,,I,,,POINT (-122.43195 37.716976),90,90,9,1,7
LAFAYETTE STREET,HOWARD STREET,NW,SB,,24360000,LAFAYETTE & HOWARD,20160405000000,,16-036,,,,POINT (-122.416306 37.772457),32,32,1,10,20
MARTIN L KING,09TH AVE,NE,WB,,27252000,MARTIN L KING & 09TH AVE,,,,,,,POINT (-122.46643 37.766476),9,9,8,11,12
GREENWICH,BAKER,SW,EB,,26899000,GREENWICH ST & BAKER ST,,,,,,,POINT (-122.445786 37.79769),14,14,4,6,13
BALDWIN,OAKDALE,NW,SB,0,20064000,BALDWIN & OAKDALE,,,,,,,POINT (-122.3814 37.72949),78,78,2,9,1
43RD AVE,ORTEGA,,NB,,27765000,43RD AVE & ORTEGA,,,,,,,POINT (-122.50206 37.75124),39,39,10,7,35
SANTIAGO,28TH AVE,NE,WB,0,23280000,SANTIAGO & 28TH AVE,,,,,,,POINT (-122.485466 37.74449),40,40,10,7,35
ALABAMA,20TH ST,NW,SB,0,24028000,ALABAMA ST & 20TH ST,,,,,,,POINT (-122.41158 37.759083),53,53,3,2,20
30TH AVE,CALIFORNIA,NW,SB,00,28023000,30TH AVE & CALIFORNIA ST,,,,I,,,POINT (-122.490364 37.78364),,,8,6,33
DELTA,ARLETA,SE,NB,,20364000,DELTA & ARLETA,,,,,,,POINT (-122.4089 37.714478),75,75,9,9,40
HAMPSHIRE,26TH ST,,NB,,23948000,,,,,,,,POINT (-122.4069 37.749718),53,53,3,2,20
GAVEN,BARNEVELD,SW,EB,0,21012000,GAVEN & BARNEVELD,,,,,,,POINT (-122.40755 37.733704),91,91,2,2,25
45TH AVE,ORTEGA ST,NW,SB,,27769000,45TH AVE & ORTEGA ST,,,,,,,POINT (-122.5042 37.751137),39,39,10,7,35
38TH AVE,KIRKHAM,NW,SB,0,27781000,38TH AVE & KIRKHAM,,,,,,,POINT (-122.49722 37.758934),39,39,10,7,35
30TH AVE,PACHECO,NW,SB,,23399000,30TH AVE & PACHECO ST,20180220000000,<Null>,180220-028,I,18-5348,,POINT (-122.488 37.74999),39,39,10,7,35
PLYMOUTH,YERBA BUENA,NE,WB,00,22804000,PLYMOUTH AVE & YERBA BUENA AVE,,,,,,,POINT (-122.45861 37.732544),70,70,9,8,41
SACRAMENTO,LARKIN,NE,WB,0,25296000,SACRAMENTO ST & LARKIN ST,,,,,,,POINT (-122.41922 37.791702),16,16,6,3,21
BRITTON,VISITACION,,WB,,20381000,BRITTON & VISITACION,,,,,,,POINT (-122.412506 37.712727),75,75,9,9,40
WAYLAND,GOETTINGEN,SW,EB,,20640000,WAYLAND ST & GOETTINGEN ST,,,,I,,,POINT (-122.406075 37.72566),91,91,2,2,25
DIAMOND,DIAMOND HEIGHTS,SE,NB,,21994000,DIAMOND ST & DIAMOND HEIGHTS BLVD,,,,,,,POINT (-122.4374 37.73829),57,57,9,5,10
CAYUGA,NIAGARA,SW,EB,0,22082000,CAYUGA & NIAGARA,,,,,,,POINT (-122.44471 37.717995),80,80,9,1,28
PERALTA,YORK,SW,EB,,21122000,PERALTA AVE & YORK ST,20150303000000,,15-023,I,,,POINT (-122.40727 37.74743),60,60,9,2,2
MAGELLAN,PLAZA,NW,SB,,22888000,MAGELLAN AVE & PLAZA ST,,,,I,,,POINT (-122.46005 37.748695),45,45,10,8,41
LEAVENWORTH,CHESTNUT,SE,NB,0,25531000,LEAVENWORTH ST & CHESTNUT,,,,,,,POINT (-122.41815 37.803135),107,107,6,6,32
CURTIS,MORSE,,SB,,21470000,CURTIS & MORSE,,,,,,,POINT (-122.439415 37.712994),58,58,9,1,7
19TH AVE,CALIFORNIA,NW,SB,0,27635000,19TH AVE & CALIFORNIA,,,,,,,POINT (-122.47858 37.784176),2,2,8,4,29
41ST AVE,PACHECO ST,NW,SB,,27752000,41ST AVE & PACHECO,,,,,,,POINT (-122.49979 37.749474),39,39,10,7,35
33RD AVE,MORAGA,SE,NB,,27686000,33RD AVE & MORAGA,,,,,,,POINT (-122.49161 37.755447),39,39,10,7,35
RIVAS,GARCES,SE,NB,,23092000,RIVAS & GARCES,,,,,,,POINT (-122.48161 37.71619),42,42,10,8,16
DARTMOUTH,OLMSTEAD,SE,NB,0,20854000,DARTMOUTH ST & OLMSTEAD ST,,,,,,,POINT (-122.40951 37.720768),91,91,2,2,25
HAZELWOOD,MONTECITO,SE,NB,,22253000,HAZELWOOD & MONTECITO,,,,,,,POINT (-122.454285 37.730476),71,71,9,8,41
LATHROP AVE,WHEELER,NE,WB,0,20284000,LATHROP AVE & WHEELER,,,,,,,POINT (-122.40028 37.710865),89,89,2,9,1
TEDDY,DELTA,,EB,,20360000,,,,,,,,POINT (-122.4086 37.715157),75,75,9,9,40
ALHAMBRA,SCOTT,SW,EB,0,26978000,ALHAMBRA & SCOTT,,,,,,,POINT (-122.44137 37.801125),17,17,4,6,13
MORSE,NAPLES,SW,EB,0,21429000,MORSE ST & NAPLES ST,,,,,,,POINT (-122.4369 37.71366),58,58,9,1,7
37TH AVE,WAWONA,NW,SB,0,23369000,37TH AVE & WAWONA,,,,,,,POINT (-122.49459 37.736607),40,40,10,7,35
LELAND AVE,ALPHA,NE,WB,00,20314000,LELAND AVE & ALPHA,,,,,,,POINT (-122.40563 37.711933),75,75,9,9,40
BADEN,JOOST,NW,SB,10N,22141000,BADEN ST & JOOST AVE,,,,,,,POINT (-122.43975 37.73237),95,95,9,5,41
CASTRO,20TH ST,NW,SB,0,25756000,CASTRO ST & 20TH ST,,,,,,,POINT (-122.4347 37.757687),115,115,3,5,5
INDIANA,25TH ST,SE,NB,0,23609000,INDIANA & 25TH ST,,,,,,,POINT (-122.390686 37.752663),56,56,2,9,26
SANTA ROSA,CAPISTRANO,SW,EB,,21802000,SANTA ROSA & CAPISTRANO,,,,,,,POINT (-122.43809 37.72786),94,94,9,1,28
WAITHMAN,PORTOLA,NW,SB,0,22837000,WAITHMAN & PORTOLA,,,,,,,POINT (-122.45636 37.74167),49,49,9,8,41
FLORIDA,CESAR CHAVEZ,NW,SB,0,21139000,FLORIDA ST & CESAR CHAVEZ,,,,,,,POINT (-122.409645 37.748333),60,60,3,2,2
HAWES,INNES,NW,SB,,20162000,HAWES ST & INNES AVE,20171003000000,,171003-122,I,,,POINT (-122.37765 37.73307),78,78,2,9,1
NEVADA,CRESCENT,NW,SB,0,21043000,NEVADA & CRESCENT,,,,,,,POINT (-122.41183 37.73464),83,83,9,2,2
ELLINGTON,FOOTE,NE,WB,,21511000,ELLINGTON & FOOTE,,,,,,,POINT (-122.44546 37.713196),66,66,9,1,28
MELROSE,CONGO,SW,EB,,22274000,MELROSE AVE & CONGO ST,20150407000000,,15-052,I,,,POINT (-122.44201 37.73381),95,95,9,8,41
CASTLE MANOR,MISSION,SW,EB,0,21694000,CASTLE MANOR & MISSION,,,,,,,POINT (-122.43081 37.72923),94,94,9,1,28
MONTEREY,SAN LEANDRO,NE,WB,,22930000,MONTEREY BLVD & SAN LEANDRO WY,,,,I,,,POINT (-122.46868 37.733143),63,63,10,8,41
SUNNYDALE,REY,SW,EB,0,20370000,SUNNYDALE & REY,,,,,,,POINT (-122.412285 37.710865),75,75,9,9,40
POINT LOBOS,43RD AVE,SW,EB,0,27918000,POINT LOBOS & 43RD AVE,,,,,,,POINT (-122.50406 37.779705),6,6,8,4,29
SILVER,REVERE,NE,WB,0,20742000,SILVER AVE & REVERE AVE,,,,,,,POINT (-122.39856 37.736435),87,87,2,9,1
ARKANSAS,MADERA,SE,NB,0,23706000,ARKANSAS & MADERA,,,,,,,POINT (-122.39783 37.755898),54,54,2,9,26
35TH AVE,VICENTE,NW,SB,0,23372000,35TH AVE & VICENTE ST,,,,I,,,POINT (-122.49258 37.738567),40,40,10,7,35
GREEN,KEARNY,NE,WB,0,24847000,GREEN & KEARNY,,,,,,,POINT (-122.40583 37.7999),18,18,6,3,23
FLOOD,CONGO,,EB,,22138000,,,,,,,,POINT (-122.44201 37.72991),95,95,9,8,41
CAPITOL,SADOWA,SE,NB,0,22470000,CAPITOL & SADOWA,,,,,,,POINT (-122.459015 37.712296),81,81,10,1,24
INGALLS,KISKA,NW,SB,N LINE,20077000,INGALLS ST & KISKA RD,,,,,,,POINT (-122.379555 37.73111),86,86,2,9,1
NOE,VALLEY,NW,SB,0,21911000,NOE & VALLEY,,,,,,,POINT (-122.43118 37.744244),84,84,9,5,22
LONDON,EXCELSIOR,NW,SB,00,21760000,LONDON ST & EXCELSIOR AVE,,,,I,,,POINT (-122.43285 37.725872),90,90,9,1,7
LANE ST,QUESADA,NW,SB,0,20497000,LANE ST & QUESADA,,,,,,,POINT (-122.3896 37.73229),86,86,2,9,1
47TH AVE,WAWONA ST,NE,WB,,23492000,47TH AVE & WAWONA ST,,,,,,,POINT (-122.505295 37.736134),40,40,10,7,35
44TH AVE,KIRKHAM,NW,SB,0,27780000,44TH AVE & KIRKHAM,,,,,,,POINT (-122.503654 37.75865),39,39,10,7,35
10TH AVE,NORIEGA,NW,SB,0,27100000,10TH AVE & NORIEGA,,,,,,,POINT (-122.46673 37.75467),44,44,10,8,14
PLAZA,LAGUNA HONDA,SW,EB,0,22867000,PLAZA & LAGUNA HONDA,,,,,,,POINT (-122.459625 37.748943),49,49,7,8,38
CLAY,LAUREL,SW,EB,0,26921000,CLAY ST & LAUREL,,,,,,,POINT (-122.45048 37.788647),10,10,8,6,31
POWELL,UNION,NW,SB,00,25423000,POWELL & UNION,,,,,,,POINT (-122.410835 37.80024),107,107,6,3,6
33RD AVE,NORIEGA,NW,SB,0,27680000,33RD AVE & NORIEGA,,,,,,,POINT (-122.49148 37.75358),39,39,10,7,35
30TH AVE,LAWTON,NW,SB,0,27683000,30TH AVE & LAWTON ST,,,,I,,,POINT (-122.48852 37.757446),39,39,10,7,35
LAGUNA ST,WASHINGTON,SE,NB,0,26558000,LAGUNA ST & WASHINGTON,,,,,,,POINT (-122.42945 37.792217),102,102,4,6,30
PERSIA,MADRID,NE,WB,0,21718000,PERSIA AVE & MADRID ST,,,,,,,POINT (-122.43281 37.72162),90,90,9,1,7
FELTON,CAMBRIDGE,NE,WB,0,20962000,FELTON ST & CAMBRIDGE ST,,,,,,,POINT (-122.4184 37.726425),92,92,2,2,25
BRODERICK,SUTTER,SE,NB,0,26809000,BRODERICK ST & SUTTER ST,,,,,,,POINT (-122.441536 37.785034),103,103,8,11,15
LAWTON,11TH AVE,SW,EB,0,27128000,11TH AVE & LAWTON ST,20201113000000,,6326,I,20-01546,20201215000000,POINT (-122.46806 37.75835),44,44,10,8,14
BRYANT,20TH ST,NW,SB,0,24008000,BRYANT & 20TH ST,,,,,,,POINT (-122.40977 37.759193),53,53,3,2,20
HOLLOWAY,MIRAMAR,,WB,,22589000,HOLLOWAY & MIRAMAR,,,,,,,POINT (-122.45818 37.72184),64,64,10,1,24
HERNANDEZ,LAGUNA HONDA,SW,EB,,22844000,HERNANDEZ & LAGUNA HONDA,,,,,,,POINT (-122.45685 37.74481),49,49,7,8,41
LYON,UNION,NW,SB,0,26895000,LYON ST & UNION ST,,,,I,,,POINT (-122.44687 37.79564),14,14,4,6,13
PRESIDIO,CLAY,SE,NB,0,26850000,PRESIDIO AVE & CLAY ST,,,,,,,POINT (-122.44715 37.78907),10,10,8,6,31
CAYUGA,MT VERNON,NW,SB,,22091000,CAYUGA & MT VERNON,,,,,,,POINT (-122.44581 37.71708),80,80,9,1,28
BRYANT,26TH ST,NW,SB,6N,21137000,BRYANT & 26TH ST,,,,,,,POINT (-122.40883 37.7496),53,53,3,2,20
STEINER,JACKSON,SE,NB,0,26669000,STEINER ST & JACKSON ST,,,,I,,,POINT (-122.4362 37.792263),102,102,4,6,30
KEITH ST,VAN DYKE,NW,SB,0,20483000,KEITH ST & VAN DYKE,,,,,,,POINT (-122.39055 37.7281),86,86,2,9,1
ANZA,06TH AVE,SW,EB,0,27275000,ANZA ST & 06TH AVE,,,,,,,POINT (-122.46414 37.77909),5,5,8,4,11
COLE,17TH AVE,NW,SB,0,26266000,COLE ST & 17TH AVE,,,,,,,POINT (-122.44912 37.761646),114,114,7,11,14
REVERE,GRIFFITH,SW,EB,,20067000,REVERE & GRIFFITH,,,,,,,POINT (-122.38081 37.726364),78,78,2,9,1
ROSE,GOUGH,NE,WB,,24453000,ROSE ST & GOUGH ST,,,,I,,,POINT (-122.42231 37.77362),21,21,4,11,9
DORE,BRANNAN,NW,SB,,33031000,DORE & BRANNAN,,,,,,,POINT (-122.407585 37.769585),33,33,1,10,20
KANSAS ST,17TH ST,NW,SB,0,23774000,KANSAS ST & 17TH ST,,,,,,,POINT (-122.40353 37.764725),54,54,1,9,4
DOLORES,21ST ST,NW,SB,0,25635000,DOLORES ST & 21ST ST,,,,I,,,POINT (-122.42561 37.75663),52,52,3,5,20
BRODERICK,GEARY,SE,NB,0,26803000,BRODERICK ST & GEARY BLVD,,,,,,,POINT (-122.441154 37.783165),103,103,8,11,15
VERMONT,20TH ST,NW,SB,,23757000,VERMONT & 20TH ST,,,,,,,POINT (-122.40401 37.75956),54,54,2,9,26
PIZARRO,NORTHWOOD,,NB,,22647000,PIZARRO & NORTHWOOD,,,,,,,POINT (-122.459595 37.729572),71,71,9,8,41
DIAMOND,23RD ST,NW,SB,0,25762000,DIAMOND ST & 23RD ST,,,,,,,POINT (-122.436455 37.752758),84,84,3,5,22
ELLINGTON,NAGLEE,NW,SB,0,21503000,ELLINGTON & NAGLEE,,,,,,,POINT (-122.4468 37.712162),66,66,9,1,28
28TH AVE,JUDAH,NW,SB,00,27431000,28TH AVE & JUDAH,,,,,,,POINT (-122.48664 37.761276),39,39,10,7,35
QUINT,MADDUX,SW,EB,0,20732000,QUINT & MADDUX,,,,,,,POINT (-122.39821 37.73531),87,87,2,9,1
NEWHALL,MCKINNON,NW,SB,0,20665000,NEWHALL ST & MCKINNON AVE,,,,,,,POINT (-122.39109 37.736908),86,86,2,9,1
40TH AVE,TARAVAL,SE,NB,0,23440000,40TH AVE & TARAVAL,,,,,,,POINT (-122.49819 37.742054),39,39,10,7,35
36TH AVE,KIRKHAM,SE,NB,0,27728000,36TH AVE & KIRKHAM,,,,,,,POINT (-122.49508 37.75903),39,39,10,7,35
DIAMOND HEIGHTS,CARNELIAN,NE,WB,,22318000,DIAMOND HEIGHTS BLVD & CARNELIAN WY,,,,,,,POINT (-122.442245 37.746883),57,57,3,5,22
19TH ST,BRYANT,SW,EB,0,24012000,19TH ST & BRYANT ST,,,,,,,POINT (-122.409996 37.760487),53,53,3,9,20
26TH AVE,ANZA,SE,NB,0,27548000,26TH AVE & ANZA,,,,,,,POINT (-122.485664 37.77812),8,8,8,4,29
42ND AVE,RIVERA,SE,NB,,23476000,42ND AVE & RIVERA,,,,,,,POINT (-122.500595 37.745693),39,39,10,7,35
UNIVERSITY,WOOLSEY,SE,NB,0,20879000,UNIVERSITY & WOOLSEY,,,,,,,POINT (-122.41247 37.72266),73,73,2,2,19
JERROLD AVE,FRIEDELL ST,NE,WB,,,JERROLD AVE & FRIEDELL ST,20170620000000,,170620-076,,,,POINT (-122.370255 37.72794),78,78,2,9,1
INNES,DONAHUE,NE,WB,,35028000,INNES AVE & DONAHUE ST,20170620000000,,170620-076,I,,,POINT (-122.37015 37.728786),78,78,2,9,1
GEARY,40TH AVE,NE,WB,,27902000,GEARY BLVD & 40TH AVE,,,,,,,POINT (-122.5008 37.77935),8,8,8,4,29
RUSS,NATOMA,NW,SB,0,24288000,RUSS & NATOMA,,,,,,,POINT (-122.408806 37.779293),32,32,1,10,34
EDINBURGH,GENEVA,NW,SB,0,21432000,EDINBURGH ST & GENEVA AVE,,,,,,,POINT (-122.43699 37.714577),90,90,9,1,7
BURROWS,HAMILTON,SW,EB,0,20914000,BURROWS ST & HAMILTON ST,,,,I,,,POINT (-122.41002 37.727283),91,91,2,2,25
STONEYBROOK,ALEMANY,SE,NB,,33315000,STONEYBROOK & ALEMANY,,,,,,,POINT (-122.42173 37.731354),94,94,9,2,25
PRAGUE,SOUTH HILL,SE,NB,0,21386000,PRAGUE ST & SOUTH HILL BLVD,,,,I,,,POINT (-122.43231 37.71223),58,58,9,1,7
KIRKHAM,16TH AVE,SW,EB,,27353000,KIRKHAM ST & 16TH AVE,20180505000000,,180515-077,I,18-5803,,POINT (-122.473656 37.759975),44,44,10,8,14
LAGUNA ST,FILBERT,SE,NB,0,26584000,LAGUNA ST & FILBERT,,,,,,,POINT (-122.43075 37.79865),15,15,4,6,13
16TH AVE,NORIEGA,SE,NB,,27311000,16TH AVE & NORIEGA,,,,,,,POINT (-122.47327 37.75438),44,44,10,8,14
ILLINOIS,22ND ST,,SB,,23553000,ILLINOIS & 22ND ST,,,,,,,POINT (-122.387314 37.758),55,55,2,9,26
BURLWOOD,LOS PALMOS,NE,WB,,22389000,BURLWOOD & LOS PALMOS,,,,,,,POINT (-122.45564 37.734753),117,117,9,8,41
LARKIN ST,JACKSON,NW,SB,0,25300000,LARKIN ST & JACKSON,,,,,,,POINT (-122.419754 37.794353),105,105,6,3,32
LOMBARD,HYDE,SW,EB,0,25565000,LOMBARD ST & HYDE ST,,,,I,,,POINT (-122.41962 37.801994),107,107,6,6,32
BELVEDERE,HAIGHT,SE,NB,0,26412000,BELVEDERE ST & HAIGHT ST,,,,,,,POINT (-122.449646 37.76966),25,25,7,11,3
ANDOVER,CRESCENT,SE,NB,0,21187000,ANDOVER & CRESCENT,,,,,,,POINT (-122.416824 37.73489),61,61,9,2,2
26TH ST,TENNESSEE,,SB,,23537000,26TH ST & TENNESSEE ST,,,,,,,POINT (-122.388626 37.7515),56,56,2,9,1
MOULTON,WEBSTER,NE,WB,,26749000,MOULTON ST & WEBSTER ST,,,,I,,,POINT (-122.43432 37.79963),15,15,4,6,13
NEBRASKA,CORTLAND,NW,SB,0,21066000,NEBRASKA & CORTLAND,,,,,,,POINT (-122.41051 37.73978),83,83,9,2,2
TENNESSEE,18TH ST,SE,NB,0,23571000,TENNESSEE & 18TH ST,,,,,,,POINT (-122.38973 37.762985),55,55,2,9,26
18TH ST,VERMONT,SW,EB,0,23767000,18TH ST & VERMONT,,,,,,,POINT (-122.40426 37.76211),54,54,2,9,26
MURRAY,CRESCENT,,SB,,21230000,,,,,,,,POINT (-122.42023 37.735058),93,93,9,2,2
UNION,LAGUNA,NE,WB,0,26583000,UNION & LAGUNA,,,,,,,POINT (-122.43056 37.797718),15,15,4,6,13
GEARY,PRESIDIO,SW,EB,,26834000,GEARY BLVD & PRESIDIO AVE,,,,,,,POINT (-122.44582 37.78249),13,13,8,6,18
39TH AVE,VICENTE,SE,NB,0,23435000,39TH AVE & VICENTE,,,,,,,POINT (-122.49686 37.73838),39,39,10,7,35
FOUNTAIN,24TH ST,SE,NB,,26086000,FOUNTAIN ST & 24TH ST,,,,,,,POINT (-122.44169 37.750835),51,51,3,5,22
CORTLAND,FOLSOM,SW,EB,0,21079000,CORTLAND AVE & FOLSOM ST,,,,,,,POINT (-122.413315 37.738983),83,83,9,2,2
PIERCE,FILBERT,NW,SB,0,26684000,PIERCE ST & FILBERT ST,,,,,,,POINT (-122.438965 37.797604),14,14,4,6,13
CLAY,BRODERICK,NE,WB,0,26854000,CLAY ST & BRODERICK,,,,,,,POINT (-122.442474 37.78966),102,102,8,6,30
SCOTT,DUBOCE,NW,SB,0,26006000,SCOTT & DUBOCE,,,,,,,POINT (-122.43489 37.769115),28,28,7,5,3
FELTON,GAMBIER,SW,EB,,20987000,FELTON ST & GAMBIER ST,,,,,,,POINT (-122.42136 37.725655),92,92,9,2,7
LE CONTE AVE,MEADE,,NB,,22338000,LE CONTE AVE & MEADE,,,,,,,POINT (-122.396126 37.71703),88,88,2,9,1
VIENNA,PERU,SE,NB,0,21659000,VIENNA & PERU,,,,,,,POINT (-122.425735 37.726707),90,90,9,1,7
LANE ST,SHAFTER,NW,SB,0,20501000,LANE ST & SHAFTER,,,,,,,POINT (-122.390724 37.731037),86,86,2,9,1
WILLOW,FRANKLIN,NE,WB,0,25188000,WILLOW & FRANKLIN,,,,,,,POINT (-122.42256 37.78315),100,100,4,11,39
LOWELL,HANOVER,NW,SB,0,21493000,LOWELL ST & HANOVER ST,,,,I,,,POINT (-122.44484 37.708584),58,58,9,1,7
23RD ST,HARRISON,NE,WB,0,23979000,23RD ST & HARRISON ST,,,,,,,POINT (-122.41205 37.75423),53,53,3,2,20
EUGENIA,PROSPECT,SE,NB,,21313000,EUGENIA AVE & PROSPECT AVE,20150106000000,,15-002,I,,,POINT (-122.42005 37.741463),83,83,9,2,2
BENNINGTON,CORTLAND,SE,NB,00,21221000,BENNINGTON & CORTLAND,,,,,,,POINT (-122.41778 37.739185),83,83,9,2,2
10TH AVE,QUINTARA,NW,SB,,22982000,10TH AVE & QUINTARA,,,,,,,POINT (-122.46634 37.749073),45,45,10,8,41
23RD ST,YORK,NE,WB,0,23969000,23RD ST & YORK ST,,,,,,,POINT (-122.40834 37.75445),53,53,3,2,20
WALLER,STEINER,SW,EB,0,25991000,WALLER & STEINER,,,,,,,POINT (-122.43191 37.770966),28,28,7,11,3
15TH AVE,CABRILLO,NW,SB,,27450000,15TH AVE & CABRILLO,,,,,,,POINT (-122.473564 37.77493),5,5,8,4,29
WHEELER,BLANKEN,SE,NB,,20285000,WHEELER & BLANKEN,,,,,,,POINT (-122.399925 37.711815),89,89,2,9,1
BRIGHTON,GRAFTON,SE,NB,0,22211000,BRIGHTON & GRAFTON,,,,,,,POINT (-122.45512 37.720036),64,64,10,1,24
16TH ST,ILLINOIS,SW,EB,,23575000,16TH ST & ILLINOIS ST,,,,I,18-5653,,POINT (-122.38816 37.766956),34,34,1,10,4
PRAGUE,CURTIS,SW,EB,0,21419000,PRAGUE ST & CURTIS ST,,,,I,,,POINT (-122.43756 37.710114),58,58,9,1,7
45TH AVE,CABRILLO,NW,SB,0,27972000,45TH AVE & CABRILLO,,,,,,,POINT (-122.505745 37.773457),8,8,8,4,29
48TH AVE,FULTON,NW,SB,0,27976000,48TH AVE & FULTON,,,,,,,POINT (-122.50882 37.771446),8,8,8,4,12
WEBSTER,BEACH,NW,SB,0,26777000,WEBSTER & BEACH,,,,,,,POINT (-122.435356 37.804756),17,17,4,6,13
23RD ST,UTAH,NE,WB,,23730000,23RD ST & UTAH ST,,,,,,,POINT (-122.40546 37.754337),54,54,3,9,20
GREENWICH,STEINER,NE,WB,0,26765000,GREENWICH ST & STEINER ST,,,,,,,POINT (-122.437515 37.79874),14,14,4,6,13
FRANCISCO,GOUGH,NE,WB,0,26726000,FRANCISCO ST & GOUGH ST,,,,,,,POINT (-122.42821 37.80279),17,17,4,6,13
FELL,STANYAN,NE,WB,0,26445000,FELL & STANYAN,,,,,,,POINT (-122.45409 37.77193),9,9,7,4,12
PERSIA,LONDON,,WB,,21725000,PERSIAN AVE & LONDON ST,,,,,,,POINT (-122.43521 37.722763),90,90,9,1,7
TREAT,18TH ST,NW,SB,0,24043000,TREAT & 18TH ST,,,,,,,POINT (-122.41403 37.762157),53,53,3,2,20
VALLEJO,FRONT,NE,WB,0,24805000,VALLEJO & FRONT,,,,,,,POINT (-122.40006 37.799683),77,77,6,3,8
25TH ST,HAMPSHIRE,SW,EB,,23950000,25TH ST & HAMPSHIRE,,,,,,,POINT (-122.40714 37.75131),53,53,3,2,20
BRODERICK,PAGE,SE,NB,12S,26035000,BRODERICK ST & PAGE ST,,,,,,,POINT (-122.438896 37.77199),112,112,7,11,3
ARLETA,RUTLAND,,NB,,20358000,ARLETA & RUTLAND,,,,,,,POINT (-122.40677 37.7139),75,75,9,9,40
LAWTON,28TH AVE,SW,EB,0,27407000,LAWTON ST & 28TH AVE,,,,,,,POINT (-122.48638 37.75754),39,39,10,7,35
DE LONG,WILSON,SW,EB,,22481000,DE LONG ST & WILSON ST,20180403000000,,180403-048,I,18-5559,20180427000000,POINT (-122.46187 37.709663),66,66,10,1,28
25TH AVE,IRVING,NW,SB,0,27422000,25TH AVE & IRVING,,,,,,,POINT (-122.48355 37.76328),39,39,10,7,35
ORA,GOLD MINE,SE,NB,0,22034000,ORA & GOLD MINE,20220902000000,,6580,L,,,POINT (-122.438805 37.74255),57,57,9,5,10
COLON,MANGELS,NW,SB,,22651000,COLON AVE & MANGELS AVE,,,,,,,POINT (-122.45688 37.732433),70,70,9,8,41
WEST GATE,UPLAND,NW,SB,0,22760000,WEST GATE & UPLAND,,,,,,,POINT (-122.46463 37.729973),68,68,10,8,41
32ND AVE,QUINTARA,SE,NB,0,23398000,32ND AVE & QUINTARA,,,,,,,POINT (-122.490005 37.74803),40,40,10,7,35
OAKDALE,SELBY,SE,NB,0,20758000,OAKDALE & SELBY,,,,,,,POINT (-122.39969 37.739902),87,87,2,9,1
MIDDLEPOINT,INNES,NW,SB,0,20175000,MIDDLEPOINT & INNES,,,,,,,POINT (-122.37943 37.73408),78,78,2,9,1
FLORIDA,24TH ST,SE,NB,,5628000,FLORIDA ST & 24TH ST,,,,,,,POINT (-122.410065 37.75274),53,53,3,2,20
35TH AVE,RIVERA,SE,NB,0,23406000,35TH AVE & RIVERA ST,,,,I,,,POINT (-122.493095 37.74602),40,40,10,7,35
OVERLOOK,MIDDLE DRIVE WEST,NW,SB,0,27466000,OVERLOOK & MIDDLE DRIVE WEST,,,,,,,POINT (-122.48541 37.768356),9,9,8,4,12
VISITACION,DESMOND,NE,WB,0,20316000,VISITACION & DESMOND,,,,,,,POINT (-122.40521 37.710682),75,75,9,9,40
THORNTON,BAYSHORE,NE,WB,0,20645000,THORNTON & BAYSHORE,,,,,,,POINT (-122.403404 37.73066),91,91,2,9,25
LONDON,AMAZON,NW,SB,0,21732000,LONDON ST & AMAZON AVE,,,,I,,,POINT (-122.439644 37.716957),90,90,9,1,7
